event_id,asset_id,event_type,policy_v1,policy_v2,decision_v1,decision_v2,reason_code_v1,reason_code_v2,previous_state_v1,previous_state_v2,next_state_v1,next_state_v2,outcome_changed,change_type,message_v1,message_v2
"e004","cam-003","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_CLOSE","student is not permitted to perform MAINTENANCE_CLOSE."
"e008","lap-002","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_CLOSE","student is not permitted to perform MAINTENANCE_CLOSE."
"e013","mic-002","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_CLOSE","student is not permitted to perform MAINTENANCE_CLOSE."
"e016","tab-001","MAINTENANCE_OPEN","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_OPEN","student is not permitted to perform MAINTENANCE_OPEN."
"e018","tab-001","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_CLOSE","student is not permitted to perform MAINTENANCE_CLOSE."
"e024","trip-002","MAINTENANCE_OPEN","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_OPEN","student is not permitted to perform MAINTENANCE_OPEN."
"e025","trip-002","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_CLOSE","student is not permitted to perform MAINTENANCE_CLOSE."
"e029","cam-001","MAINTENANCE_OPEN","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_OPEN","student is not permitted to perform MAINTENANCE_OPEN."
"e031","cam-001","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_CLOSE","student is not permitted to perform MAINTENANCE_CLOSE."
"e033","tab-002","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_CLOSE","student is not permitted to perform MAINTENANCE_CLOSE."
"e037","ghost-999","MAINTENANCE_OPEN","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNKNOWN_ASSET","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_OPEN","Unknown asset: ghost-999"
"e044","trip-001","RETURN","1.0.0","2.0.0","ACCEPTED","ACCEPTED_WITH_WARNING","STATE_TRANSITION_ALLOWED","LATE_EVENT","CHECKED_OUT","CHECKED_OUT","AVAILABLE","AVAILABLE","YES","DECISION_CHANGED","RETURN completed successfully.","Event arrived 72.0 hours after occurrence."
"e046","lap-001","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_CLOSE","student is not permitted to perform MAINTENANCE_CLOSE."
"e050","cam-002","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","REJECTED","UNKNOWN_EVENT_TYPE","UNAUTHORIZED_ACTOR","","","","","NO","STATE_OR_REASON_CHANGED","Unknown event type: MAINTENANCE_CLOSE","student is not permitted to perform MAINTENANCE_CLOSE."
"e053","cam-004","TRANSFER_OUT","1.0.0","2.0.0","REJECTED","ACCEPTED","UNKNOWN_EVENT_TYPE","STATE_TRANSITION_ALLOWED","","AVAILABLE","","IN_TRANSIT","YES","DECISION_CHANGED","Unknown event type: TRANSFER_OUT","Transfer initiated successfully."
"e054","cam-004","TRANSFER_IN","1.0.0","2.0.0","REJECTED","ACCEPTED","UNKNOWN_EVENT_TYPE","STATE_TRANSITION_ALLOWED","","IN_TRANSIT","","AVAILABLE","YES","DECISION_CHANGED","Unknown event type: TRANSFER_IN","Transfer completed successfully."
"e055","cam-004","AUDIT_OBSERVATION","1.0.0","2.0.0","REJECTED","WARNING_ONLY","UNKNOWN_ACTOR_ROLE","AUDIT_DISCREPANCY","","AVAILABLE","","AVAILABLE","YES","DECISION_CHANGED","Unknown actor role: auditor","Audit observation recorded successfully."
"e056","cam-004","MAINTENANCE_OPEN","1.0.0","2.0.0","REJECTED","ACCEPTED","UNKNOWN_EVENT_TYPE","STATE_TRANSITION_ALLOWED","","AVAILABLE","","MAINTENANCE","YES","DECISION_CHANGED","Unknown event type: MAINTENANCE_OPEN","Maintenance started successfully."
"e057","cam-004","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","ACCEPTED","UNKNOWN_EVENT_TYPE","STATE_TRANSITION_ALLOWED","","MAINTENANCE","","AVAILABLE","YES","DECISION_CHANGED","Unknown event type: MAINTENANCE_CLOSE","Maintenance completed successfully."
"e058","lap-004","AUDIT_OBSERVATION","1.0.0","2.0.0","REJECTED","REVIEW_REQUIRED","UNKNOWN_ACTOR_ROLE","AUDIT_DISCREPANCY","","MAINTENANCE","","MAINTENANCE","YES","DECISION_CHANGED","Unknown actor role: auditor","Audit observation differs from recorded condition."
"e059","lap-004","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","ACCEPTED","UNKNOWN_EVENT_TYPE","STATE_TRANSITION_ALLOWED","","MAINTENANCE","","AVAILABLE","YES","DECISION_CHANGED","Unknown event type: MAINTENANCE_CLOSE","Maintenance completed successfully."
"e060","lap-004","CHECKOUT","1.0.0","2.0.0","REJECTED","ACCEPTED","ILLEGAL_STATE_TRANSITION","STATE_TRANSITION_ALLOWED","MAINTENANCE","AVAILABLE","","CHECKED_OUT","YES","DECISION_CHANGED","Cannot CHECKOUT an asset in state MAINTENANCE.","CHECKOUT completed successfully."
"e061","lap-004","RETURN","1.0.0","2.0.0","REJECTED","ACCEPTED","ILLEGAL_STATE_TRANSITION","STATE_TRANSITION_ALLOWED","MAINTENANCE","CHECKED_OUT","","AVAILABLE","YES","DECISION_CHANGED","Cannot RETURN an asset in state MAINTENANCE.","RETURN completed successfully."
"e064","lap-005","TRANSFER_OUT","1.0.0","2.0.0","REJECTED","ACCEPTED","UNKNOWN_EVENT_TYPE","STATE_TRANSITION_ALLOWED","","AVAILABLE","","IN_TRANSIT","YES","DECISION_CHANGED","Unknown event type: TRANSFER_OUT","Transfer initiated successfully."
"e065","lap-005","TRANSFER_IN","1.0.0","2.0.0","REJECTED","ACCEPTED","UNKNOWN_EVENT_TYPE","STATE_TRANSITION_ALLOWED","","IN_TRANSIT","","AVAILABLE","YES","DECISION_CHANGED","Unknown event type: TRANSFER_IN","Transfer completed successfully."
"e068","mic-003","MAINTENANCE_OPEN","1.0.0","2.0.0","REJECTED","ACCEPTED","UNKNOWN_EVENT_TYPE","STATE_TRANSITION_ALLOWED","","AVAILABLE","","MAINTENANCE","YES","DECISION_CHANGED","Unknown event type: MAINTENANCE_OPEN","Maintenance started successfully."
"e069","mic-003","MAINTENANCE_CLOSE","1.0.0","2.0.0","REJECTED","ACCEPTED","UNKNOWN_EVENT_TYPE","STATE_TRANSITION_ALLOWED","","MAINTENANCE","","AVAILABLE","YES","DECISION_CHANGED","Unknown event type: MAINTENANCE_CLOSE","Maintenance completed successfully."
"e070","mic-004","TRANSFER_IN","1.0.0","2.0.0","REJECTED","ACCEPTED","UNKNOWN_EVENT_TYPE","STATE_TRANSITION_ALLOWED","","IN_TRANSIT","","AVAILABLE","YES","DECISION_CHANGED","Unknown event type: TRANSFER_IN","Transfer completed successfully."
"e071","mic-004","AUDIT_OBSERVATION","1.0.0","2.0.0","REJECTED","WARNING_ONLY","UNKNOWN_ACTOR_ROLE","AUDIT_DISCREPANCY","","AVAILABLE","","AVAILABLE","YES","DECISION_CHANGED","Unknown actor role: auditor","Audit observation recorded successfully."
